woord afkap
lighoogtes lig-hoog-tes
ligstraal lig-straal
ligtend lig-tend
lis lis
liste lis-te
lof lof
lofgesang lof-ge-sang
lofgeskal lof-ge-skal
lofgewade lof-ge-wa-de
loflied loflied
lofprys lof-prys
lofsang lofsang
loftaal lof-taal
lofwaardig lof-waar-dig
lokkend lok-kend
lokwoord lok-woord
lood lood
loof loof
loom loom
loon loon
loop loop
loot loot
los los
loskoop loskoop
losprys los-prys
lot lot
loutere lou-te-re
lug lug
luid luid
luide lui-de
luidende lui-den-de
luister luis-ter
luisterende luis-te-ren-de
lus lus
ly ly
lyde ly-de
lyde<U+2040>en ly-de<U+2040>en
lyde<U+2040>is ly-de<U+2040>is
lyde<U+2040>op ly-de<U+2040>op
lydensboei ly-dens-boei
lydensdeel ly-dens-deel
lydensgrond ly-dens-grond
lydenslot ly-denslot
lydensnaar ly-densnaar
lydensnag ly-densnag
lydensnood ly-densnood
lydenswonder ly-dens-won-der
lydsaam-stil lyd-saam-stil
lydsaamheid lyd-saam-heid
lyk lyk
maagd maagd
maagd'lik maagd'lik
maagde maag-de
maagdelike maag-de-li-ke
maai maai
maak maak
maal maal
maaltyd maal-tyd
maan maan
maand maand
maar maar
maat maat
mag mag
maghebbers mag-heb-bers
magsbevele mags-be-ve-le
magstroon mags-troon
magsvermoë mags-ver-moë
magte mag-te
magtig mag-tig
magtiges mag-ti-ges
majesteit ma-jesteit
maker ma-ker
man man
manna man-na
manne man-ne
manne<U+2040>in man-ne<U+2040>in
maria ma-ria
marmerberg mar-mer-berg
marmerwit mar-mer-wit
mart'laarsbloed mart'laars-bloed
mart'laarskap mart'laar-skap
martelvure mar-tel-vu-re
mate ma-te
matig ma-tig
mededoë me-de-doë
medely me-de-ly
medemens me-de-mens
medisyn me-di-syn
mee mee
meer meer
méér méér
mekaar me-kaar
meld meld
melde mel-de
mengsel meng-sel
mens mens
mense men-se
mense<U+2040>en men-se<U+2040>en
mensekind men-se-kind
menseseun men-se-seun
mensgeslagte mens-ge-slag-te
mensheid mens-heid
merk merk
mes mes
met met
mét mét
metaal me-taal
midd'laar midd'laar
middagklare mid-dag-kla-re
midde mid-de
middel mid-del
migael mi-ga-el
mild'lik mild'lik
mildheid mild-heid
min min
minste min-ste
mis mis
misbruik mis-bruik
misdaad mis-daad
mishandel mis-han-del
mislei mis-lei
misstap mis-stap
moabiet mo-a-biet
moed moed
moedeloos moe-de-loos
moeder moe-der
moedermaagd moe-der-maagd
moedig moe-dig
moeite moei-te
moeite<U+2040>en moei-te<U+2040>en
moenie moe-nie
moes moes
moet moet
mond mond
moord'naar moord'naar
môre<U+2040>aan môre<U+2040>aan
môredou môre-dou
môrester môres-ter
moses mo-ses
mure mu-re
muur muur
my my
myne my-ne
na na
ná ná
naakte naak-te
naaktheid naakt-heid
naam naam
naamgeheimenisse naam-ge-hei-me-nis-se
naas naas
naaste naas-te
naby na-by
nader na-der
nag nag
nageslag na-ge-slag
nageslagte na-ge-slag-te
nakroos nakroos
name na-me
nasies na-sies
nederige ne-de-ri-ge
nee nee
needrig nee-drig
neem neem
neer neer
neerdaal neer-daal
neergeboë neer-ge-boë
neergebuk neer-ge-buk
neergedaal neer-ge-daal
neergekom neer-ge-kom
neergesing neer-ge-sing
neergesink neer-ge-sink
neergeskrywe neer-ge-skry-we
neergeslaan neer-ge-slaan
neergestort neer-ge-stort
neergesweef neer-ge-sweef
neergeval neer-ge-val
neersinkend neer-sin-kend
neerstraal neer-straal
neerwaarts neer-waarts
neerwerp neer-werp
neig neig
nêrens nêrens
net net
newels ne-wels
nie nie
niemand nie-mand
niet niet
nietigheid nie-tig-heid
niks niks
nimmer nim-mer
nimmermeer nim-mer-meer
nodig no-dig
noem noem
nog nog
nóg nóg
nòg nòg
nogeens nog-eens
nogtans nog-tans
nood nood
nooddruf nood-druf
noodgeskrei nood-ge-skrei
nooit nooit
noorde noor-de
nou nou
nuus nuus
nuut nuut
nuut-herbore nuut-her-bo-re
nuwe nu-we
nyd nyd
o o
oë oë
oë-dienaars oë-die-naars
oer-ou oer-ou
oestyd oes-tyd
of of
offer of-fer
offerande of-fe-ran-de
offerbloed of-fer-bloed
offergloed of-fer-gloed
offermaaltyd of-fer-maal-tyd
offerwerk of-fer-werk
olywe oly-we
om om
omdat om-dat
omega ome-ga
omgeef om-geef
omgewe om-ge-we
omgord om-gord
omhoog om-hoog
omklee om-klee
omkleed om-kleed
omkrans om-krans
omlaag om-laag
omlyn om-lyn
ommegaand om-meg-aand
omring om-ring
omsweef om-sweef
omswewe om-swe-we
omvat om-vat
onbegryplik on-begryplik
onbekend on-be-kend
onbesmet on-besmet
onbevlek on-be-vlek
onbevrees on-be-vrees
onbeweeglik on-be-weeg-lik
onder on-der
ondergaan on-der-gaan
onderhou on-der-hou
oneindig on-ein-dig
ongedoof on-ge-doof
ongeëer on-ge-ëer
ongeluk on-ge-luk
ongeregtigheid on-ge-reg-tig-heid
ongestoord on-ge-stoord
ongewisheid on-ge-wis-heid
onheil on-heil
onheilsdag on-heils-dag
onklaar on-klaar
onmag on-mag
onnaspeurlik on-naspeur-lik
onpeilb're on-peilb're
onpeilbaar on-peil-baar
onreg on-reg
onregsvonnis on-regs-von-nis
ons ons
onse on-se
onsienlik on-sien-lik
onsigbaar on-sig-baar
onskuldig on-skul-dig
onspoeds-uur on-spoeds-uur
ontbloot ont-bloot
ontbode ont-bo-de
ontbreek ont-breek
ontdek ont-dek
ontelbaar on-tel-baar
ontferm ont-ferm
ontferming ont-fer-ming
onthul ont-hul
ontkomingstryd ont-ko-ming-stryd
